,protein,total_fat,carbohydrates,label,name,food_energy,labels_names
2307,1.25,0.180000007,25.93000031,27,קטשופ עגבניות,112.0,1.1 דגנים מלאים 1.3 דגנים לא מלאים 4 קבוצת קטניות
2308,1.799999952,0.0,25.5,27,"קטשופ, אוסם",109.0,1.1 דגנים מלאים 1.3 דגנים לא מלאים 4 קבוצת קטניות
2309,1.5,3.700000048,8.100000381,12,"רוטב עגבניות, טעמים שונים, ברילה",72.0,1.5 ירקות עמילניים 10.1 משקאות ממותקים בסוכר 10.2 משקאות ממותקים בתחליפי סוכר 10.3 משקאות אורז/ שיבולת שועל 10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 2 קבוצת הירקות 3 קבוצת הפירות 6.1 מוצרי חלב לא ממותקים 6.2 מוצרי חלב ממותקים בסוכר 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2310,0.934615374,4.238461494,2.829230785,12,רוטב עגבניות טריות לג'חנון עם שמן זית וסחוג,54.28461456,1.5 ירקות עמילניים 10.1 משקאות ממותקים בסוכר 10.2 משקאות ממותקים בתחליפי סוכר 10.3 משקאות אורז/ שיבולת שועל 10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 2 קבוצת הירקות 3 קבוצת הפירות 6.1 מוצרי חלב לא ממותקים 6.2 מוצרי חלב ממותקים בסוכר 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2311,3.507055283,0.379447848,15.74325085,12,סחוג ביתי,78.4509201,1.5 ירקות עמילניים 10.1 משקאות ממותקים בסוכר 10.2 משקאות ממותקים בתחליפי סוכר 10.3 משקאות אורז/ שיבולת שועל 10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 2 קבוצת הירקות 3 קבוצת הפירות 6.1 מוצרי חלב לא ממותקים 6.2 מוצרי חלב ממותקים בסוכר 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2312,3.0,6.0,10.0,12,"סחוג אדום, צבר",106.0,1.5 ירקות עמילניים 10.1 משקאות ממותקים בסוכר 10.2 משקאות ממותקים בתחליפי סוכר 10.3 משקאות אורז/ שיבולת שועל 10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 2 קבוצת הירקות 3 קבוצת הפירות 6.1 מוצרי חלב לא ממותקים 6.2 מוצרי חלב ממותקים בסוכר 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2313,3.900000095,1.100000024,20.89999962,27,"רסק עגבניות BX22 ללא תוספת מלח, יכין, פריכוז",109.0,1.1 דגנים מלאים 1.3 דגנים לא מלאים 4 קבוצת קטניות
2314,1.649999976,0.209999993,7.079999924,12,עגבניות מרוסקות Puree,38.0,1.5 ירקות עמילניים 10.1 משקאות ממותקים בסוכר 10.2 משקאות ממותקים בתחליפי סוכר 10.3 משקאות אורז/ שיבולת שועל 10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 2 קבוצת הירקות 3 קבוצת הפירות 6.1 מוצרי חלב לא ממותקים 6.2 מוצרי חלב ממותקים בסוכר 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2315,4.599999905,1.399999976,26.60000038,27,"רסק עגבניות BX28  ללא תוספת מלח, יכין, זנלכל",139.0,1.1 דגנים מלאים 1.3 דגנים לא מלאים 4 קבוצת קטניות
2316,1.429562807,3.209749222,9.360917091,12,רוטב עגבניות מרסק עגבניות ושמן סויה,72.05448151,1.5 ירקות עמילניים 10.1 משקאות ממותקים בסוכר 10.2 משקאות ממותקים בתחליפי סוכר 10.3 משקאות אורז/ שיבולת שועל 10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 2 קבוצת הירקות 3 קבוצת הפירות 6.1 מוצרי חלב לא ממותקים 6.2 מוצרי חלב ממותקים בסוכר 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2317,2.099999905,1.899999976,11.125,12,"רוטב עגבניות משומר, מקס, טל",70.0,1.5 ירקות עמילניים 10.1 משקאות ממותקים בסוכר 10.2 משקאות ממותקים בתחליפי סוכר 10.3 משקאות אורז/ שיבולת שועל 10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 2 קבוצת הירקות 3 קבוצת הפירות 6.1 מוצרי חלב לא ממותקים 6.2 מוצרי חלב ממותקים בסוכר 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2318,1.680591345,3.774133205,8.855692863,12,רוטב עגבניות טריות ורסק עם שמן זית,77.66230011,1.5 ירקות עמילניים 10.1 משקאות ממותקים בסוכר 10.2 משקאות ממותקים בתחליפי סוכר 10.3 משקאות אורז/ שיבולת שועל 10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 2 קבוצת הירקות 3 קבוצת הפירות 6.1 מוצרי חלב לא ממותקים 6.2 מוצרי חלב ממותקים בסוכר 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2319,0.819999993,0.629999995,39.86999893,5,רוטב ברביקיו,172.0,1.2 דברי מאפה (לחמים) מדגן מלא
2320,1.25,0.230000004,20.54000092,12,"רוטב סטייק, על בסיס עגבניות",95.0,1.5 ירקות עמילניים 10.1 משקאות ממותקים בסוכר 10.2 משקאות ממותקים בתחליפי סוכר 10.3 משקאות אורז/ שיבולת שועל 10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 2 קבוצת הירקות 3 קבוצת הפירות 6.1 מוצרי חלב לא ממותקים 6.2 מוצרי חלב ממותקים בסוכר 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2321,1.039999962,0.129999995,4.46999979,12,"עגבניות ובצל, מבושלים, ללא תוספת שומן, עם מלח",24.0,1.5 ירקות עמילניים 10.1 משקאות ממותקים בסוכר 10.2 משקאות ממותקים בתחליפי סוכר 10.3 משקאות אורז/ שיבולת שועל 10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 2 קבוצת הירקות 3 קבוצת הפירות 6.1 מוצרי חלב לא ממותקים 6.2 מוצרי חלב ממותקים בסוכר 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2322,0.962282181,0.698079705,5.190490246,12,מרק עגבניות עם אורז,32.23728561,1.5 ירקות עמילניים 10.1 משקאות ממותקים בסוכר 10.2 משקאות ממותקים בתחליפי סוכר 10.3 משקאות אורז/ שיבולת שועל 10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 2 קבוצת הירקות 3 קבוצת הפירות 6.1 מוצרי חלב לא ממותקים 6.2 מוצרי חלב ממותקים בסוכר 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2323,0.930000007,0.610000014,6.769999981,12,"מרק עגבניות, מוכן מאבקת אינסטנט",38.0,1.5 ירקות עמילניים 10.1 משקאות ממותקים בסוכר 10.2 משקאות ממותקים בתחליפי סוכר 10.3 משקאות אורז/ שיבולת שועל 10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 2 קבוצת הירקות 3 קבוצת הפירות 6.1 מוצרי חלב לא ממותקים 6.2 מוצרי חלב ממותקים בסוכר 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2324,1.399999976,1.5,10.69999981,12,"מרק עגבניות עם קרוטונים, נמס בכוס,מוכן מאבקה, קנור",62.0,1.5 ירקות עמילניים 10.1 משקאות ממותקים בסוכר 10.2 משקאות ממותקים בתחליפי סוכר 10.3 משקאות אורז/ שיבולת שועל 10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 2 קבוצת הירקות 3 קבוצת הפירות 6.1 מוצרי חלב לא ממותקים 6.2 מוצרי חלב ממותקים בסוכר 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2325,8.960000038,0.550000012,22.13999939,27,"עדשים, מונבטים חיים",106.0,1.1 דגנים מלאים 1.3 דגנים לא מלאים 4 קבוצת קטניות
2326,8.800000191,0.449999988,21.25,27,"עדשים, מונבטים מבושלים",101.0,1.1 דגנים מלאים 1.3 דגנים לא מלאים 4 קבוצת קטניות
2327,3.99000001,0.689999998,0.200000003,12,"נבטים, אלפלפה, חיים",23.0,1.5 ירקות עמילניים 10.1 משקאות ממותקים בסוכר 10.2 משקאות ממותקים בתחליפי סוכר 10.3 משקאות אורז/ שיבולת שועל 10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 2 קבוצת הירקות 3 קבוצת הפירות 6.1 מוצרי חלב לא ממותקים 6.2 מוצרי חלב ממותקים בסוכר 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
