,protein,total_fat,carbohydrates,label,name,food_energy,labels_names
2050,0.935199976,0.655200005,10.47200012,28,"רימון, חי, עם קליפה וגרעינים",46.47999954,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2051,0.22305283,0.055763207,17.6217804,28,"חבוש, מבושל בתוספת סוכר ומים",66.97039795,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2052,0.244000003,0.061000001,8.199999809,28,"חבוש, עם קליפה וגרעינים",34.77000046,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2053,0.899999976,0.200000003,2.74000001,2,"רוברב, ריבס, טרי",21.0,10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2054,0.675000012,0.150000006,3.404999971,2,"רוברב, ריבס, עם חלקים שאינם ראויים לאכילה",15.75,10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2055,0.899999976,0.200000003,2.74000001,2,"רוברב, ריבס, מבושל/משומר/קפוא, ללא תוספת סוכר",21.0,10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2056,0.439999998,0.090000004,21.95999908,20,"רוברב, ריבס, מבושל או משומר, בסירופ קל",92.0,1.3 דגנים לא מלאים
2057,0.389999986,0.050000001,29.20000076,20,"רוברב, ריבס, מבושל או משומר, ללא נוזלים",116.0,1.3 דגנים לא מלאים
2058,1.020499945,0.442000002,11.51150036,28,"אנונה, עם קליפה וגרעינים",48.75,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2059,0.610000014,0.150000006,7.150000095,16,"אבטיח, חי",30.0,10.2 משקאות ממותקים בתחליפי סוכר 2 קבוצת הירקות 3 קבוצת הפירות
2060,1.090000033,0.068000004,25.75399971,20,"אבטיח, כבוש בסוכר",101.987999,1.3 דגנים לא מלאים
2061,0.317200005,0.078000002,3.926000118,16,"אבטיח, עם קליפה וגרעינים",15.60000038,10.2 משקאות ממותקים בתחליפי סוכר 2 קבוצת הירקות 3 קבוצת הפירות
2062,1.389999986,0.49000001,4.309999943,2,"פטל שחור, Blackberry, טרי",43.0,10.4.1 משקאות אלכוהוליים לא מתוקים 10.4.2 משקאות אלכוהוליים שמכילים פחמימות 6.3 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט משקה אנרגיה
2063,1.179999948,0.430000007,10.67000008,28,"פטל שחור, קפוא, לא ממותק",64.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2064,0.74000001,0.330000013,12.09000015,28,"אוכמניות, חיות",57.0,10.1 משקאות ממותקים בסוכר 10.3 משקאות אורז/ שיבולת שועל
2065,0.5,0.219999999,8.109999657,16,"אוכמניות, מבושלות או משומרות, ללא תוספת סוכר, במים",38.0,10.2 משקאות ממותקים בתחליפי סוכר 2 קבוצת הירקות 3 קבוצת הפירות
