,protein,total_fat,carbohydrates,alcohol,label,name,food_energy,labels_names
3397,1.600000024,3.599999905,11.5,0.0,19,"אטריות, נודלס בטעם עוף, מוכן מתערובת, מג'יק",85.0,"ירקות עמילניים
 משקאות ממותקים בסוכר
 משקאות אורז/ שיבולת שועל
 קבוצת הירקות
 קבוצת הפירות
 מוצרי חלב ממותקים בסוכר"
3398,1.799999952,3.299999952,10.80000019,0.0,19,"אטריות, נודלס בטעם בשר, מוכן מתערובת, מג'יק",80.0,"ירקות עמילניים
 משקאות ממותקים בסוכר
 משקאות אורז/ שיבולת שועל
 קבוצת הירקות
 קבוצת הפירות
 מוצרי חלב ממותקים בסוכר"
3399,19.35000038,3.789999962,0.0,0.0,1,"דג מוסר, לא מבושל",117.0,"קבוצת הבשר - עוף הודו
 קבוצת הבשר - דגים
 קבוצת הבשר - בשר בקר וצאן
 קבוצת הבשר - תחליפי בשר מהצומח
 ביצים
 מוצרי חלב דל שומן
 תחליפי בשר (לייט)"
3400,15.0,4.0,0.0,0.0,1,"דג לברק, לא מבושל",101.0,"קבוצת הבשר - עוף הודו
 קבוצת הבשר - דגים
 קבוצת הבשר - בשר בקר וצאן
 קבוצת הבשר - תחליפי בשר מהצומח
 ביצים
 מוצרי חלב דל שומן
 תחליפי בשר (לייט)"
3401,8.199999809,5.0,1.799999952,0.0,29,"לאבנה 5% למריחה, מחלב בקר, גד",99.0,"משקאות ממותקים בתחליפי סוכר
 משקאות אלכוהוליים שמכילים פחמימות
 מוצרי חלב לא ממותקים
 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט
 קבוצת תחליפי חלב על בסיס קטניות- מוצרי סויה
 משקה אנרגיה"
3402,4.5,5.0,2.5,0.0,29,"יוגורט של פעם, 5% שומן, מחלב כבשים, שומרון",73.0,"משקאות ממותקים בתחליפי סוכר
 משקאות אלכוהוליים שמכילים פחמימות
 מוצרי חלב לא ממותקים
 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט
 קבוצת תחליפי חלב על בסיס קטניות- מוצרי סויה
 משקה אנרגיה"
3403,3.5,4.0,3.299999952,0.0,29,"יוגורט של פעם, 4% שומן, מחלב עזים, שומרון",63.0,"משקאות ממותקים בתחליפי סוכר
 משקאות אלכוהוליים שמכילים פחמימות
 מוצרי חלב לא ממותקים
 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט
 קבוצת תחליפי חלב על בסיס קטניות- מוצרי סויה
 משקה אנרגיה"
3404,4.300000191,4.0,2.599999905,0.0,29,"יוגורט של פעם, 4% שומן, חלב כבשים, שומרון",64.0,"משקאות ממותקים בתחליפי סוכר
 משקאות אלכוהוליים שמכילים פחמימות
 מוצרי חלב לא ממותקים
 קבוצת מוצרי חלב ממותקים בתחליפי סוכר- כל הדיאט
 קבוצת תחליפי חלב על בסיס קטניות- מוצרי סויה
 משקה אנרגיה"
3405,7.199999809,32.5,55.5,0.0,25,"חטיף מתוק, שוקולד חרובים, חלבי, תופינית",544.0,דברי מאפה מתוקים
3406,9.5,31.89999962,56.20000076,0.0,25,"חטיף מתוק, שוקולד חרובים, מריר, תופינית",550.0,דברי מאפה מתוקים
